,name,gender,frequency,year
99,Emily,F,210,1880
2089,Emily,F,244,1881
4028,Emily,F,272,1882
6141,Emily,F,342,1883
8225,Emily,F,364,1884
10528,Emily,F,346,1885
12828,Emily,F,369,1886
15225,Emily,F,335,1887
17590,Emily,F,457,1888
20244,Emily,F,429,1889
22827,Emily,F,509,1890
25531,Emily,F,444,1891
28190,Emily,F,518,1892
31112,Emily,F,506,1893
33941,Emily,F,551,1894
36878,Emily,F,605,1895
39934,Emily,F,527,1896
43017,Emily,F,619,1897
46051,Emily,F,628,1898
49317,Emily,F,569,1899
52368,Emily,F,626,1900
56091,Emily,F,537,1901
59242,Emily,F,606,1902
62608,Emily,F,558,1903
65999,Emily,F,599,1904
69556,Emily,F,683,1905
73215,Emily,F,619,1906
76844,Emily,F,714,1907
80795,Emily,F,732,1908
84813,Emily,F,749,1909
89047,Emily,F,785,1910
93669,Emily,F,909,1911
98538,Emily,F,1147,1912
104882,Emily,F,1386,1913
111849,Emily,F,1650,1914
119815,Emily,F,2091,1915
129173,Emily,F,2213,1916
138872,Emily,F,2220,1917
148786,Emily,F,2361,1918
159184,Emily,F,2307,1919
169567,Emily,F,2168,1920
180325,Emily,F,2184,1921
191180,Emily,F,2146,1922
201943,Emily,F,2057,1923
212594,Emily,F,2044,1924
223473,Emily,F,1767,1925
234108,Emily,F,1729,1926
244571,Emily,F,1656,1927
254979,Emily,F,1559,1928
265141,Emily,F,1444,1929
274966,Emily,F,1344,1930
284761,Emily,F,1186,1931
294068,Emily,F,1147,1932
303453,Emily,F,1062,1933
312471,Emily,F,1068,1934
321648,Emily,F,1094,1935
330683,Emily,F,1123,1936
339566,Emily,F,1293,1937
348517,Emily,F,1308,1938
357547,Emily,F,1292,1939
366466,Emily,F,1269,1940
375426,Emily,F,1368,1941
384514,Emily,F,1419,1942
393947,Emily,F,1336,1943
403351,Emily,F,1251,1944
412514,Emily,F,1134,1945
421543,Emily,F,1379,1946
431249,Emily,F,1470,1947
441627,Emily,F,1391,1948
451869,Emily,F,1392,1949
462147,Emily,F,1316,1950
472461,Emily,F,1287,1951
482923,Emily,F,1392,1952
493582,Emily,F,1325,1953
504416,Emily,F,1341,1954
515405,Emily,F,1303,1955
526542,Emily,F,1283,1956
537902,Emily,F,1207,1957
549480,Emily,F,1171,1958
561007,Emily,F,1214,1959
572775,Emily,F,1225,1960
584716,Emily,F,1148,1961
596906,Emily,F,1079,1962
609119,Emily,F,1107,1963
621400,Emily,F,1131,1964
633767,Emily,F,1288,1965
645722,Emily,F,1249,1966
657884,Emily,F,1206,1967
670274,Emily,F,1328,1968
683189,Emily,F,1576,1969
696914,Emily,F,1931,1970
711691,Emily,F,1865,1971
726956,Emily,F,2335,1972
742340,Emily,F,3028,1973
757994,Emily,F,4330,1974
774224,Emily,F,5483,1975
791177,Emily,F,5548,1976
808567,Emily,F,6880,1977
826751,Emily,F,7478,1978
844989,Emily,F,7971,1979
864029,Emily,F,9003,1980
883484,Emily,F,10800,1981
902961,Emily,F,12519,1982
922662,Emily,F,12376,1983
942074,Emily,F,12786,1984
961589,Emily,F,13137,1985
981681,Emily,F,13236,1986
1002339,Emily,F,14710,1987
1023751,Emily,F,15869,1988
1046119,Emily,F,17323,1989
1069895,Emily,F,19366,1990
1094612,Emily,F,20310,1991
1119722,Emily,F,21834,1992
1145152,Emily,F,23592,1993
1171118,Emily,F,24151,1994
1197115,Emily,F,24381,1995
1223195,Emily,F,25151,1996
1249621,Emily,F,25735,1997
1276594,Emily,F,26185,1998
1304503,Emily,F,26539,1999
1333060,Emily,F,25957,2000
1362836,Emily,F,25059,2001
1393117,Emily,F,24468,2002
1423689,Emily,F,25691,2003
1454883,Emily,F,25040,2004
1486941,Emily,F,23949,2005
1519500,Emily,F,21410,2006
1553602,Emily,F,19359,2007
1588570,Emily,F,17441,2008
1623667,Emily,F,15360,2009
1658391,Emily,F,14278,2010
1692489,Emily,F,14270,2011
1726423,Emily,F,13660,2012
1760195,Emily,F,13137,2013
1793524,Emily,F,12656,2014
1826819,Emily,F,11801,2015
1859990,Emily,F,10994,2016
1893052,Emily,F,9806,2017
1925722,Emily,F,8706,2018
1957943,Emily,F,8248,2019
1990058,Emily,F,6908,2020
